"Area","Country","PersonID","Gender","DOB","Surname","GivenName","School","GP"
"Abbey","England","0","Male","1958-10-07 00:00:00","Sims","Christopher","Abbey School","Abbey GP"
"Abbey","England","1","Male","1965-10-21 00:00:00","Norris","Kieran","Abbey School","Abbey GP"
"Abbey","England","2","Male","1943-03-01 00:00:00","Wade","Kian","Abbey School","Abbey GP"
"Bagley","England","3","Female","1969-07-14 00:00:00","Curtis","Katie","Bagley School","Bagely GP"
"Bagley","England","4","Male","2019-01-12 00:00:00","Rowley","Anthony","Bagley School","Bagely GP"
"Bagley","England","5","Male","1961-07-26 00:00:00","Howarth","Jamie","Bagley School","Bagely GP"
"Battlefield","England","6","Male","1952-08-01 00:00:00","Thomson","Leo","Battlefield School","Battlefield GP"
"Battlefield","England","7","Female","1978-11-26 00:00:00","Stone","Tegan","Battlefield School","Battlefield GP"
"Battlefield","England","8","Female","1998-05-12 00:00:00","Rees","Courtney","Battlefield School","Battlefield GP"
"Belle Vue","England","9","Female","1977-11-05 00:00:00","Marshall","Jennifer","Belle Vue School","Belle Vue GP"
"Belle Vue","England","10","Male","2017-05-28 00:00:00","Whitehead","Finlay","Belle Vue School","Belle Vue GP"
"Belle Vue","England","11","Male","1975-01-10 00:00:00","Ashton","Muhammad","Belle Vue School","Belle Vue GP"
"Bowbrook","England","12","Male","1974-11-14 00:00:00","Hunt","Muhammad","Bowbrook School","Bowbrook GP"
"Bowbrook","England","13","Female","1980-06-24 00:00:00","Winter","Elizabeth","Bowbrook School","Bowbrook GP"
"Bowbrook","England","14","Male","1976-10-14 00:00:00","Farmer","Thomas","Bowbrook School","Bowbrook GP"
"Castlefields and Ditherington","England","15","Male","2011-08-26 00:00:00","Cook","John","Ditherington School","Castlefields GP"
"Castlefields and Ditherington","England","16","Male","1995-05-17 00:00:00","Curtis","Cameron","Castlefields School","Castlefields GP"
"Castlefields and Ditherington","England","17","Male","1940-07-15 00:00:00","Sims","Zak","Castlefields School","Castlefields GP"
"Column","England","18","Female","2013-08-10 00:00:00","Kerr","Sofia","Column School","Column GP"
"Column","England","19","Male","2001-09-16 00:00:00","Sanderson","Harry","Column School","Column GP"
"Column","England","20","Female","1968-12-21 00:00:00","Brooks","Kiera","Column School","Column GP"
"Copthorne","England","21","Male","1942-07-09 00:00:00","Short","Samuel","Copthorne School","Copthorne GP"
"Copthorne","England","22","Male","1984-08-30 00:00:00","Fraser","Daniel","Copthorne School","Copthorne GP"
"Copthorne","England","23","Male","2017-06-14 00:00:00","Browne","Daniel","Copthorne School","Copthorne GP"
"Harlescott","England","24","Female","1985-12-28 00:00:00","Metcalfe","Alice","Harlescott School","Harlescott GP"
"Harlescott","England","25","Male","1960-05-10 00:00:00","Pearson","Isaac","Harlescott School","Harlescott GP"
"Harlescott","England","26","Female","1975-10-15 00:00:00","Sutton","Olivia","Harlescott School","Harlescott GP"
"Meole","England","27","Male","1969-03-18 00:00:00","Ryan","Harry","Meole School","Meole GP"
"Meole","England","28","Male","1962-10-30 00:00:00","Lowe","Lucas","Meole School","Meole GP"
"Meole","England","29","Female","1977-04-15 00:00:00","Griffiths","Eleanor","Meole School","Meole GP"
"Monkmoor","England","30","Female","2011-10-22 00:00:00","Sanderson","Evie","Monkmoor School","Monkmoor GP"
"Monkmoor","England","31","Female","1965-05-23 00:00:00","Miller","Alexandra","Monkmoor School","Monkmoor GP"
"Monkmoor","England","32","Female","1930-05-26 00:00:00","Chamberlain","Charlie","Monkmoor School","Monkmoor GP"
"Porthill","England","33","Male","1968-03-16 00:00:00","Brady","Josh","Porthill School","Porthill GP"
"Porthill","England","34","Female","1957-10-17 00:00:00","Sharpe","Victoria","Porthill School","Porthill GP"
"Porthill","England","35","Male","1979-09-10 00:00:00","Carr","Ben","Porthill School","Porthill GP"
"Quarry and Coton Hill","England","36","Female","1953-06-05 00:00:00","Yates","Brooke","Coton Hill School","Quarry GP"
"Quarry and Coton Hill","England","37","Male","1990-01-09 00:00:00","Riley","Hayden","Coton Hill School","Quarry GP"
"Quarry and Coton Hill","England","38","Male","1956-09-21 00:00:00","Horton","Leon","Quarry School","Quarry GP"
"Radbrook","England","39","Female","1936-08-04 00:00:00","Lawson","Amy","Radbrook School","Radbrook GP"
"Radbrook","England","40","Male","1970-03-01 00:00:00","Cooper","Brandon","Radbrook School","Radbrook GP"
"Radbrook","England","41","Female","2012-02-07 00:00:00","Carroll","Emma","Radbrook School","Radbrook GP"
"Sundorne","England","42","Female","1975-02-15 00:00:00","Gibson","Alice","Sundorne School","Sundorne GP"
"Sundorne","England","43","Female","1989-09-10 00:00:00","Abbott","Libby","Sundorne School","Sundorne GP"
"Sundorne","England","44","Male","1959-08-06 00:00:00","Shah","Christopher","Sundorne School","Sundorne GP"
"Sutton and Reabrook","England","45","Male","1960-04-13 00:00:00","Duffy","Joseph","Reabrook School","Sutton GP"
"Sutton and Reabrook","England","46","Female","1989-07-31 00:00:00","Howarth","Imogen","Reabrook School","Sutton GP"
"Sutton and Reabrook","England","47","Male","2005-03-28 00:00:00","Leach","Ryan","Reabrook School","Sutton GP"
"Underdale","England","48","Female","1953-09-07 00:00:00","Vincent","Tia","Underdale School","Underdale GP"
"Underdale","England","49","Female","1998-12-06 00:00:00","Griffin","Laura","Underdale School","Underdale GP"
"Underdale","England","50","Male","1981-03-26 00:00:00","Daniels","Muhammad","Underdale School","Underdale GP"
